Hidden_Layers	Activation	Dropout	Nodes	Batch_Size	Best Epoch per fold	Pearson_Coefficient_train	Pearson_Coefficient_val
3	LeakyReLU	0	12	32	[129.  39.  84. 112.  36.]	0.6782501998007415	0.6043334666090292
3	LeakyReLU	0	16	32	[141. 186. 141. 130. 164.]	0.6939655859858798	0.616489975530495
3	LeakyReLU	0	20	32	[ 32. 146. 120. 169.  85.]	0.7077331995631335	0.6251015637313821
3	LeakyReLU	0	24	32	[128.  19. 124. 111.  64.]	0.7088950065888712	0.6193626054258355
3	LeakyReLU	0.1	12	32	[159. 164. 170. 124. 164.]	0.6483710151973275	0.6128482591679335
3	LeakyReLU	0.1	16	32	[187. 153. 189.  33. 111.]	0.6592312305085334	0.6153190627741294
3	LeakyReLU	0.1	20	32	[ 70. 151. 184. 144. 163.]	0.6661964314404549	0.6163159801587913
3	LeakyReLU	0.1	24	32	[ 98. 143. 140.  74. 165.]	0.6693372341327172	0.6212200291846437
3	LeakyReLU	0.2	12	32	[148. 124. 154. 137. 164.]	0.6262712819620795	0.6053016921853264
3	LeakyReLU	0.2	16	32	[124. 198. 149.  74. 104.]	0.6341083279019215	0.6041187049837046
3	LeakyReLU	0.2	20	32	[ 31. 157. 129. 159. 157.]	0.6438595467283155	0.607828665806458
3	LeakyReLU	0.2	24	32	[154. 158. 163. 157. 147.]	0.6475797367620565	0.6118168450854786
