Hidden_Layers	Activation	Dropout	Nodes	Batch_Size	Best Epoch per fold	Pearson_Coefficient_train	Pearson_Coefficient_val
3	LeakyReLU	0	12	32	[ 71.  71. 106.  28.  31.]	0.7103970147065886	0.6190234327274593
3	LeakyReLU	0	16	32	[ 92.  31.  67.  29. 132.]	0.7349584504725217	0.62079683966002
3	LeakyReLU	0	20	32	[ 75. 145. 112.  16.  42.]	0.7494129752814276	0.6297607828402648
3	LeakyReLU	0	24	32	[120. 118. 121.  22.  14.]	0.7632679550269839	0.6195989974095151
3	LeakyReLU	0.1	12	32	[ 60. 119. 162. 152.  78.]	0.6705737417864021	0.6305354331656863
3	LeakyReLU	0.1	16	32	[142. 164. 127. 147. 104.]	0.6814097465261841	0.6352264742150271
3	LeakyReLU	0.1	20	32	[ 39. 156. 158.  91.  52.]	0.6925954417915706	0.6391854858354853
3	LeakyReLU	0.1	24	32	[ 74.  50.  98.  82. 113.]	0.700037325317546	0.6476773969669009
3	LeakyReLU	0.2	12	32	[114.  61.  60.  63. 157.]	0.6501504543140223	0.621909763033197
3	LeakyReLU	0.2	16	32	[145.  58. 119.  94. 181.]	0.6620926817595698	0.6276793351047788
3	LeakyReLU	0.2	20	32	[ 57. 115. 146. 109. 111.]	0.6695732372444071	0.6335870208022317
3	LeakyReLU	0.2	24	32	[179.  76. 165. 152. 153.]	0.6759732614189325	0.6369764670145552
