Hidden_Layers	Activation	Dropout	Nodes	Batch_Size	Best Epoch per fold	Pearson_Coefficient_train	Pearson_Coefficient_val
3	LeakyReLU	0	12	32	[126.  39. 155.  56. 124.]	0.6999852934219852	0.6270737938436896
3	LeakyReLU	0	16	32	[ 80.  50.  32. 161. 169.]	0.714741551734516	0.6233427214866247
3	LeakyReLU	0	20	32	[ 62. 179.  81.  73.  50.]	0.7273241348411267	0.615261655395479
3	LeakyReLU	0	24	32	[ 66.  89. 141. 130.  97.]	0.7432331174779137	0.6316143325806574
3	LeakyReLU	0.1	12	32	[164. 142.  71. 181.  66.]	0.6567822135307069	0.6164034426367674
3	LeakyReLU	0.1	16	32	[108. 198.  65. 156. 144.]	0.6706802207927043	0.6221614707973391
3	LeakyReLU	0.1	20	32	[143.  92.  72. 144. 163.]	0.6779055567044023	0.6249631051637857
3	LeakyReLU	0.1	24	32	[ 77. 137. 116. 188.  59.]	0.6871747824091359	0.6220064969552558
3	LeakyReLU	0.2	12	32	[ 56. 151.  81.  80.  56.]	0.6361015032677817	0.6104324663881533
3	LeakyReLU	0.2	16	32	[ 90. 159. 119. 157. 148.]	0.648339595204165	0.6146850919317289
3	LeakyReLU	0.2	20	32	[ 71.  74.  81. 134. 164.]	0.6542935506315086	0.6182603299181363
3	LeakyReLU	0.2	24	32	[ 68.  41. 109.  66.  64.]	0.6614544172630851	0.6167805291685499
