Hidden_Layers	Activation	Dropout	Nodes	Batch_Size	Best Epoch per fold	Pearson_Coefficient_train	Pearson_Coefficient_val
3	LeakyReLU	0	12	32	[157. 150.  62.  46. 164.]	0.7101395045380764	0.6079242927047486
3	LeakyReLU	0	16	32	[151. 144.  72. 104. 120.]	0.7370902932053177	0.6170379940776086
3	LeakyReLU	0	20	32	[145.  28. 138.  17.  92.]	0.7585062521323338	0.6059793824558971
3	LeakyReLU	0	24	32	[ 67.  99. 115.   4.  83.]	0.7699820549396897	0.6020978907537763
3	LeakyReLU	0.1	12	32	[ 82. 163. 157.  58. 121.]	0.6408997472933516	0.5811695205527164
3	LeakyReLU	0.1	16	32	[ 71. 135. 131.  92. 154.]	0.6611089573974052	0.5958717093483693
3	LeakyReLU	0.1	20	32	[148. 162. 127.  44. 145.]	0.6811675684971521	0.6019997490494515
3	LeakyReLU	0.1	24	32	[ 73. 102. 158.  61. 117.]	0.6875862079330517	0.6124561584762735
3	LeakyReLU	0.2	12	32	[151. 177.  54. 100. 156.]	0.6112981632733576	0.5685011462467772
3	LeakyReLU	0.2	16	32	[152. 145. 136. 171. 125.]	0.6290350505826213	0.5847096568538446
3	LeakyReLU	0.2	20	32	[ 80. 152. 151. 138. 160.]	0.6417515328369594	0.585695338290655
3	LeakyReLU	0.2	24	32	[122. 133. 136.  79.  76.]	0.6574057293985148	0.5985971482631182
