Hidden_Layers	Activation	Dropout	Nodes	Batch_Size	Best Epoch per fold	Pearson_Coefficient_train	Pearson_Coefficient_val
3	LeakyReLU	0	12	32	[127. 116.  19. 145. 161.]	0.703764466625235	0.5883166189304465
3	LeakyReLU	0	16	32	[ 33.  68.  62. 123. 109.]	0.7244995618940933	0.5946153520486327
3	LeakyReLU	0	20	32	[ 70.  27. 137.  23.  69.]	0.7523040856745785	0.5988060329087832
3	LeakyReLU	0	24	32	[ 33.  85. 149.   7. 152.]	0.7655547676172502	0.6014200151278482
3	LeakyReLU	0.1	12	32	[ 74. 138. 150. 110. 157.]	0.6430323060399382	0.5763743908631974
3	LeakyReLU	0.1	16	32	[125.  73. 129. 146. 130.]	0.6600724484769357	0.5834716202846978
3	LeakyReLU	0.1	20	32	[ 45. 156. 126.  59. 102.]	0.6743286327257368	0.5988365651343112
3	LeakyReLU	0.1	24	32	[156. 137. 156. 166.  72.]	0.6810436499016462	0.5977418212439546
3	LeakyReLU	0.2	12	32	[161. 151.  68. 170. 133.]	0.6046962368955863	0.5604536356703609
3	LeakyReLU	0.2	16	32	[176.  70. 102. 160. 158.]	0.6112960060563776	0.5604923590480937
3	LeakyReLU	0.2	20	32	[162.  70. 115. 162. 133.]	0.6389373381568239	0.5845056393567004
3	LeakyReLU	0.2	24	32	[114. 133.  78. 152.  99.]	0.6463315986065169	0.5838962461350331
